2012-08-01 21:26:31 status unpacked wpasupplicant:armel 1.0-2
2012-08-01 21:26:31 status unpacked wpasupplicant:armel 1.0-2
2012-08-01 21:26:31 status unpacked wpasupplicant:armel 1.0-2
2012-08-01 21:26:31 status half-configured wpasupplicant:armel 1.0-2
2012-08-01 21:26:33 status installed wpasupplicant:armel 1.0-2
2012-08-01 21:26:33 configure libsystemd-login0:armel 44-4 <none>
2012-08-01 21:26:33 status unpacked libsystemd-login0:armel 44-4
2012-08-01 21:26:33 status half-configured libsystemd-login0:armel 44-4
2012-08-01 21:26:34 status installed libsystemd-login0:armel 44-4
2012-08-01 21:26:34 configure dbus:armel 1.6.0-1 <none>
2012-08-01 21:26:34 status unpacked dbus:armel 1.6.0-1
2012-08-01 21:26:35 status unpacked dbus:armel 1.6.0-1
2012-08-01 21:26:35 status unpacked dbus:armel 1.6.0-1
2012-08-01 21:26:35 status unpacked dbus:armel 1.6.0-1
2012-08-01 21:26:35 status unpacked dbus:armel 1.6.0-1
2012-08-01 21:26:35 status half-configured dbus:armel 1.6.0-1
2012-08-01 21:26:49 status installed dbus:armel 1.6.0-1
2012-08-01 21:26:50 configure network-manager:armel 0.9.4.0-5 <none>
2012-08-01 21:26:50 status unpacked network-manager:armel 0.9.4.0-5
2012-08-01 21:26:50 status unpacked network-manager:armel 0.9.4.0-5
2012-08-01 21:26:50 status unpacked network-manager:armel 0.9.4.0-5
2012-08-01 21:26:50 status unpacked network-manager:armel 0.9.4.0-5
2012-08-01 21:26:50 status unpacked network-manager:armel 0.9.4.0-5
2012-08-01 21:26:51 status unpacked network-manager:armel 0.9.4.0-5
2012-08-01 21:26:51 status unpacked network-manager:armel 0.9.4.0-5
2012-08-01 21:26:51 status unpacked network-manager:armel 0.9.4.0-5
2012-08-01 21:26:51 status half-configured network-manager:armel 0.9.4.0-5
2012-08-01 21:26:55 status installed network-manager:armel 0.9.4.0-5
1970-01-01 00:02:11 startup archives unpack
1970-01-01 00:02:15 install fake-hwclock:all <none> 0.5
1970-01-01 00:02:15 status half-installed fake-hwclock:all 0.5
1970-01-01 00:02:15 status triggers-pending man-db:armel 2.6.2-1
1970-01-01 00:02:15 status half-installed fake-hwclock:all 0.5
1970-01-01 00:02:15 status unpacked fake-hwclock:all 0.5
1970-01-01 00:02:15 status unpacked fake-hwclock:all 0.5
1970-01-01 00:02:15 trigproc man-db:armel 2.6.2-1 2.6.2-1
1970-01-01 00:02:15 status half-configured man-db:armel 2.6.2-1
1970-01-01 00:02:21 status installed man-db:armel 2.6.2-1
1970-01-01 00:02:33 startup packages configure
1970-01-01 00:02:33 configure fake-hwclock:all 0.5 <none>
1970-01-01 00:02:33 status unpacked fake-hwclock:all 0.5
1970-01-01 00:02:35 status unpacked fake-hwclock:all 0.5
1970-01-01 00:02:35 status unpacked fake-hwclock:all 0.5
1970-01-01 00:02:35 status unpacked fake-hwclock:all 0.5
1970-01-01 00:02:35 status half-configured fake-hwclock:all 0.5
1970-01-01 00:02:36 status installed fake-hwclock:all 0.5
